,log c,log j,E vs. RHE
0,-0.97521,-3.94494,-0.45
1,-0.97521,-3.65486,-0.5
2,-0.97521,-3.33809,-0.55
3,-0.97521,-2.96152,-0.6
4,-0.78031,-3.88039,-0.45
5,-0.78031,-3.57953,-0.5
6,-0.78031,-3.28168,-0.55
7,-0.78031,-2.96772,-0.6
8,-0.62488,-3.91083,-0.45
9,-0.62488,-3.63706,-0.5
10,-0.62488,-3.34065,-0.55
11,-0.62488,-2.97815,-0.6
12,-0.3206,-3.988,-0.45
13,-0.3206,-3.70691,-0.5
14,-0.3206,-3.41631,-0.55
15,-0.3206,-3.09006,-0.6
16,-0.02702,-4.08323,-0.45
17,-0.02702,-3.85783,-0.5
18,-0.02702,-3.5929,-0.55
19,-0.02702,-3.27532,-0.6
